School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Colusa Alternative High (Continuation),06615980630012,Colusa Unified,1,null,null,null,null,null%
Colusa Alternative Home,06615980630046,Colusa Unified,0,null,null,null,null,null%
Colusa High,06615980631259,Colusa Unified,37,472,501,454,14,37.84%
Maxwell Jr/Sr High,06616060634758,Maxwell Unified,13,466,442,449,4,30.77%
Pierce High,06616140635250,Pierce Joint Unified,27,458,443,432,8,29.63%
Williams Junior/Senior High,06616220637504,Williams Unified,26,467,448,474,6,23.08%
