School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Anderson Valley Junior-Senior High,23655402330900,Anderson Valley Unified,18,463,526,484,7,38.89%
Fort Bragg High,23655652331361,Fort Bragg Unified,51,510,485,495,24,47.06%
Mendocino High,23655812333185,Mendocino Unified,18,582,522,527,15,83.33%
Point Arena High,23655992333649,Point Arena Joint Union High,12,472,448,440,3,25%
Round Valley High,23656072334563,Round Valley Unified,3,null,null,null,null,null%
Ukiah Independent Study Academy,23656150128280,Ukiah Unified,0,null,null,null,null,null%
Redwood Academy of Ukiah,23656152330413,Ukiah Unified,13,566,552,540,11,84.62%
Accelerated Achievement Academy,23656152330454,Ukiah Unified,0,null,null,null,null,null%
Ukiah High,23656152335024,Ukiah Unified,106,519,533,515,60,56.6%
New Horizons,23656232330314,Willits Unified,2,null,null,null,null,null%
Willits Charter,23656232330363,Willits Unified,3,null,null,null,null,null%
Willits High,23656232335487,Willits Unified,31,503,475,473,12,38.71%
Potter Valley High,23738662330041,Potter Valley Community Unified,11,491,439,456,3,27.27%
Laytonville High,23739162332260,Laytonville Unified,10,null,null,null,null,null%
Leggett Valley High,23752182332724,Leggett Valley Unified,1,null,null,null,null,null%
