School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Family Partnership Home Study Charter,42691120111773,Blochman Union Elementary,0,null,null,null,null,null%
Carpinteria Senior High,42691464230587,Carpinteria Unified,67,479,499,470,27,40.3%
Cabrillo High,42692294230454,Lompoc Unified,91,528,520,504,56,61.54%
Lompoc High,42692294233060,Lompoc Unified,54,474,478,464,21,38.89%
Olive Grove,42692454230199,Los Olivos Elementary,3,null,null,null,null,null%
Orcutt Academy Charter,42692600116434,Orcutt Union Elementary,84,514,508,492,47,55.95%
Pioneer Valley High,42693100102285,Santa Maria Joint Union High,173,455,463,451,46,26.59%
Ernest Righetti High,42693104234613,Santa Maria Joint Union High,181,486,500,482,78,43.09%
Santa Maria High,42693104236030,Santa Maria Joint Union High,173,416,447,415,24,13.87%
Santa Ynez Valley Union High,42693284236345,Santa Ynez Valley Union High,147,521,530,516,87,59.18%
Cuyama Valley High,42750104231205,Cuyama Joint Unified,3,null,null,null,null,null%
Alta Vista Alternative High,42767860120402,Santa Barbara Unified,12,568,548,558,10,83.33%
Dos Pueblos Senior High,42767864231726,Santa Barbara Unified,325,539,557,529,204,62.77%
San Marcos Senior High,42767864235230,Santa Barbara Unified,201,518,532,514,116,57.71%
Santa Barbara Senior High,42767864235727,Santa Barbara Unified,257,537,539,529,159,61.87%
