School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Calistoga Junior-Senior High,28662412831758,Calistoga Joint Unified,26,428,430,432,2,7.69%
Napa Valley Independent Studies,28662660101964,Napa Valley Unified,3,null,null,null,null,null%
American Canyon High,28662660121087,Napa Valley Unified,160,469,463,470,57,35.63%
Vintage High,28662662830016,Napa Valley Unified,201,491,494,489,92,45.77%
New Technology High,28662662830115,Napa Valley Unified,43,522,469,500,22,51.16%
Napa High,28662662835601,Napa Valley Unified,168,513,521,500,83,49.4%
Saint Helena High,28662902837102,Saint Helena Unified,51,523,471,513,24,47.06%
