School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Yuba County Career Preparatory Charter,58105875830112,Yuba County Office of Education,0,null,null,null,null,null%
Camptonville Academy,58727286115935,Camptonville Elementary,10,null,null,null,null,null%
Lindhurst High,58727365830013,Marysville Joint Unified,65,428,450,423,13,20%
Lincoln (Abraham) (Alternative),58727365830054,Marysville Joint Unified,0,null,null,null,null,null%
Marysville Charter Academy for the Arts,58727365830138,Marysville Joint Unified,29,501,494,484,16,55.17%
Marysville High,58727365835202,Marysville Joint Unified,53,489,513,487,24,45.28%
Wheatland Union High,58727695838305,Wheatland Union High,54,480,475,463,21,38.89%
