School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Saddleback High,30666703035821,Santa Ana Unified,182,394,422,397,24,13.19%
Santa Ana High,30666703036357,Santa Ana Unified,239,403,420,401,29,12.13%
Valley High,30666703036456,Santa Ana Unified,226,403,432,415,36,15.93%
El Toro High,30736353030061,Saddleback Valley Unified,298,530,557,521,193,64.77%
Laguna Hills High,30736353030244,Saddleback Valley Unified,188,543,550,527,125,66.49%
Trabuco Hills High,30736353030392,Saddleback Valley Unified,337,535,554,517,216,64.09%
Mira Monte High (Alternative),30736353030509,Saddleback Valley Unified,1,null,null,null,null,null%
Mission Viejo High,30736353034956,Saddleback Valley Unified,338,541,553,528,227,67.16%
Arnold O. Beckman High,30736430102871,Tustin Unified,384,565,595,572,284,73.96%
Foothill High,30736433032109,Tustin Unified,337,532,542,532,218,64.69%
Tustin High,30736433037553,Tustin Unified,305,458,457,453,94,30.82%
Irvine High,30736503030152,Irvine Unified,249,568,609,583,192,77.11%
Woodbridge High,30736503030285,Irvine Unified,373,571,614,577,298,79.89%
Alternative Education-San Joaquin High,30736503030467,Irvine Unified,2,null,null,null,null,null%
Northwood High,30736503030657,Irvine Unified,358,604,656,621,329,91.9%
University High,30736503035102,Irvine Unified,392,617,666,624,355,90.56%
Los Alamitos High,30739243033917,Los Alamitos Unified,517,528,541,517,308,59.57%
