School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Madera County Independent Academy,20102070117184,Madera County Office of Education,0,null,null,null,null,null%
Pioneer Technical Center,20102072030229,Madera County Office of Education,0,null,null,null,null,null%
Chowchilla Union High,20652012032357,Chowchilla Union High,87,443,440,439,16,18.39%
Madera South High,20652430110965,Madera Unified,264,414,417,414,27,10.23%
Sherman Thomas Charter High,20652430118950,Madera Unified,2,null,null,null,null,null%
Furman (Duane E.) High (Independent Study Program),20652432035640,Madera Unified,0,null,null,null,null,null%
Madera High,20652432035707,Madera Unified,214,453,455,455,64,29.91%
Liberty High,20755802030203,Golden Valley Unified,82,494,467,472,30,36.59%
Minarets High,20756060117010,Chawanakee Unified,36,516,469,472,15,41.67%
Minarets Charter High,20756060125021,Chawanakee Unified,26,492,453,463,8,30.77%
Chawanakee Academy,20756066114862,Chawanakee Unified,1,null,null,null,null,null%
Yosemite High,20764142030013,Yosemite Unified,64,516,524,500,39,60.94%
Evergreen High,20764142030104,Yosemite Unified,0,null,null,null,null,null%
Glacier High School Charter,20764142030237,Yosemite Unified,6,null,null,null,null,null%
