School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
S.F. County Opportunity (Hilltop),38103893830395,San Francisco County Office of Education,0,null,null,null,null,null%
Five Keys Charter (SF Sheriff's),38684780101774,San Francisco Unified,0,null,null,null,null,null%
Jordan (June) School for Equity,38684780102103,San Francisco Unified,4,null,null,null,null,null%
City Arts and Tech High,38684780107300,San Francisco Unified,85,410,413,395,11,12.94%
Five Keys Adult School (SF Sheriff's),38684780118133,San Francisco Unified,0,null,null,null,null,null%
Five Keys Independence HS (SF Sheriff's),38684780118141,San Francisco Unified,0,null,null,null,null,null%
S.F. International High,38684780119875,San Francisco Unified,66,321,450,318,3,4.55%
Academy of Arts and Sciences,38684780119958,San Francisco Unified,44,447,413,456,9,20.45%
Gateway to College,38684780128876,San Francisco Unified,0,null,null,null,null,null%
Wells (Ida B.) High,38684783830031,San Francisco Unified,1,null,null,null,null,null%
Downtown High,38684783830064,San Francisco Unified,1,null,null,null,null,null%
Independence High,38684783830197,San Francisco Unified,16,546,459,504,6,37.5%
Wallenberg (Raoul) Traditional High,38684783830205,San Francisco Unified,113,468,514,456,47,41.59%
Burton (Phillip and Sala) Academic High,38684783830254,San Francisco Unified,170,443,480,431,56,32.94%
Balboa High,38684783830288,San Francisco Unified,184,467,504,467,79,42.93%
International Studies Academy,38684783830353,San Francisco Unified,25,430,423,409,5,20%
"Asawa (Ruth) San Francisco School of the Arts, A P",38684783830387,San Francisco Unified,107,577,541,553,77,71.96%
Marshall (Thurgood) High,38684783830403,San Francisco Unified,76,364,445,364,10,13.16%
Leadership High,38684783830411,San Francisco Unified,57,399,390,408,8,14.04%
Gateway High,38684783830437,San Francisco Unified,93,495,491,483,43,46.24%
Galileo High,38684783831765,San Francisco Unified,356,445,510,444,128,35.96%
Lincoln (Abraham) High,38684783833241,San Francisco Unified,331,468,529,461,151,45.62%
Lowell High,38684783833407,San Francisco Unified,645,595,636,594,561,86.98%
Mission High,38684783834082,San Francisco Unified,169,400,464,399,40,23.67%
O'Connell (John) High,38684783834769,San Francisco Unified,48,412,418,409,6,12.5%
Washington (George) High,38684783839081,San Francisco Unified,365,464,529,462,172,47.12%
San Francisco Flex Academy,38767030121814,SBE - San Francisco Flex Academy,15,501,509,502,8,53.33%
