School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
YouthBuild Charter School of California,14101400117994,Inyo County Office of Education,1,null,null,null,null,null%
YouthBuild Charter School of California Central,14101400121301,Inyo County Office of Education,0,null,null,null,null,null%
The Education Corps,14101400128447,Inyo County Office of Education,3,null,null,null,null,null%
College Bridge Academy,14101400128454,Inyo County Office of Education,0,null,null,null,null,null%
Big Pine High,14632481431352,Big Pine Unified,3,null,null,null,null,null%
Lone Pine High,14632891434901,Lone Pine Unified,6,null,null,null,null,null%
Owens Valley High,14632971436203,Owens Valley Unified,1,null,null,null,null,null%
Bishop Independent Study,14766870119081,Bishop Unified,0,null,null,null,null,null%
Bishop Union High,14766871431600,Bishop Unified,73,494,506,476,38,52.05%
