School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
California Virtual Academy @ San Diego,37684036120893,Spencer Valley Elementary,29,562,538,517,22,75.86%
Olympian High,37684110111831,Sweetwater Union High,290,495,500,476,130,44.83%
Southwest Senior High,37684113730124,Sweetwater Union High,131,441,447,437,26,19.85%
Bonita Vista Senior High,37684113730405,Sweetwater Union High,318,503,512,484,150,47.17%
Castle Park Senior High,37684113730801,Sweetwater Union High,140,449,449,426,33,23.57%
Eastlake High,37684113730843,Sweetwater Union High,487,507,520,498,261,53.59%
Chula Vista Senior High,37684113731064,Sweetwater Union High,271,460,461,441,74,27.31%
Options Secondary,37684113731155,Sweetwater Union High,2,null,null,null,null,null%
MAAC Community Charter,37684113731304,Sweetwater Union High,0,null,null,null,null,null%
Alta Vista Academy,37684113731460,Sweetwater Union High,1,null,null,null,null,null%
San Ysidro High,37684113731502,Sweetwater Union High,229,444,462,431,57,24.89%
Otay Ranch Senior High,37684113731627,Sweetwater Union High,404,493,498,474,172,42.57%
Hilltop Senior High,37684113732849,Sweetwater Union High,234,481,472,458,74,31.62%
Mar Vista Senior High,37684113733953,Sweetwater Union High,121,479,481,462,47,38.84%
Sweetwater High,37684113738226,Sweetwater Union High,285,437,459,437,66,23.16%
Montgomery Senior High,37684113738234,Sweetwater Union High,157,451,450,438,37,23.57%
RAI Online Charter,37684370101220,Vallecitos Elementary,5,null,null,null,null,null%
Taylion San Diego Academy,37684370128470,Vallecitos Elementary,1,null,null,null,null,null%
SIATech,37684520106120,Vista Unified,0,null,null,null,null,null%
North County Trade Tech High,37684520114264,Vista Unified,0,null,null,null,null,null%
Mission Vista High,37684520118430,Vista Unified,234,516,507,501,123,52.56%
Guajome Learning Center,37684520124917,Vista Unified,1,null,null,null,null,null%
Vista Visions Academy,37684520126300,Vista Unified,0,null,null,null,null,null%
Rancho Buena Vista High,37684523730728,Vista Unified,255,501,518,495,138,54.12%
Guajome Park Academy Charter,37684523730942,Vista Unified,49,541,523,531,25,51.02%
Vista High,37684523738705,Vista Unified,241,493,496,475,102,42.32%
Carlsbad High,37735513730694,Carlsbad Unified,414,555,564,538,298,71.98%
Carlsbad Seaside Academy,37735513731163,Carlsbad Unified,0,null,null,null,null,null%
Pacific View Charter,37735693731221,Oceanside Unified,5,null,null,null,null,null%
Oceanside High,37735693735206,Oceanside Unified,159,472,505,454,64,40.25%
El Camino High,37735693739018,Oceanside Unified,345,500,511,486,173,50.14%
Ocean Shores High (Continuation),37735693739026,Oceanside Unified,1,null,null,null,null,null%
Mission Hills High,37737910105726,San Marcos Unified,345,508,497,495,167,48.41%
Bayshore Preparatory Charter,37737910109785,San Marcos Unified,5,null,null,null,null,null%
Twin Oaks High,37737913730215,San Marcos Unified,1,null,null,null,null,null%
Foothills High,37737913730793,San Marcos Unified,3,null,null,null,null,null%
San Marcos High,37737913737632,San Marcos Unified,357,523,525,508,208,58.26%
Warner Junior/Senior High,37754163730975,Warner Unified,6,null,null,null,null,null%
Valley Center High,37756143731114,Valley Center-Pauma Unified,128,489,499,474,54,42.19%
Valley Center Prep,37756143731601,Valley Center-Pauma Unified,3,null,null,null,null,null%
High Tech High Chula Vista,37764710114678,SBC - High Tech High,136,478,469,471,46,33.82%
High Tech High North County,37764710114694,SBC - High Tech High,112,516,503,511,56,50%
