School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Big Valley Jr. Sr. High,18640891831601,Big Valley Joint Unified,2,null,null,null,null,null%
Lassen High,18641391833805,Lassen Union High,70,492,507,484,35,50%
New Day Academy,18641620120287,Ravendale-Termo Elementary,2,null,null,null,null,null%
Long Valley Charter,18641626010763,Ravendale-Termo Elementary,0,null,null,null,null,null%
Westwood Charter,18642041830132,Westwood Unified,1,null,null,null,null,null%
Westwood High,18642041838507,Westwood Unified,7,null,null,null,null,null%
Mt. Lassen Charter,18750360121657,Fort Sage Unified,0,null,null,null,null,null%
Herlong High,18750361833409,Fort Sage Unified,5,null,null,null,null,null%
