School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Northcoast Preparatory and Performing Arts Academy,12101240115097,Humboldt County Office of Education,35,620,534,579,32,91.43%
Six Rivers Charter High,12626870107110,Northern Humboldt Union High,16,531,528,472,6,37.5%
Laurel Tree Charter,12626870124263,Northern Humboldt Union High,3,null,null,null,null,null%
Arcata High,12626871230705,Northern Humboldt Union High,97,574,555,540,75,77.32%
McKinleyville High,12626871235209,Northern Humboldt Union High,52,501,500,486,27,51.92%
Academy of the Redwoods,12628100108688,Fortuna Union High,25,577,542,524,19,76%
Fortuna Union High,12628101233402,Fortuna Union High,67,491,493,480,29,43.28%
Hoopa Valley High,12629011234004,Klamath-Trinity Joint Unified,21,470,440,442,7,33.33%
Pacific View Charter,12629271230150,Loleta Union Elementary,0,null,null,null,null,null%
Alder Grove Charter,12630320111203,South Bay Union Elementary,4,null,null,null,null,null%
South Fork Junior - Senior High,12630401237007,Southern Humboldt Joint Unified,14,544,509,499,7,50%
Ferndale High,12753741232909,Ferndale Unified,18,507,520,511,11,61.11%
Mattole Triple Junction High,12753821230085,Mattole Unified,2,null,null,null,null,null%
Mattole Valley Charter (#159),12753821230135,Mattole Unified,4,null,null,null,null,null%
Eureka Senior High,12755151232206,Eureka City Schools,111,517,523,502,57,51.35%
