School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Success One!,11101160130724,Glenn County Office of Education,0,null,null,null,null,null%
Conservation Corps of Long Beach Gateway Cities Ch,11101160130807,Glenn County Office of Education,0,null,null,null,null,null%
William Finch,11101161130103,Glenn County Office of Education,2,null,null,null,null,null%
Princeton Junior-Senior High,11626461136209,Princeton Joint Unified,7,null,null,null,null,null%
Willows High,11626611132851,Willows Unified,30,459,473,468,9,30%
Orland High,11754811135656,Orland Joint Unified,38,498,480,480,13,34.21%
Hamilton High,11765621133701,Hamilton Unified,30,456,465,466,11,36.67%
