School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Pacific Collegiate Charter,44104474430252,Santa Cruz County Office of Education,66,638,638,630,62,93.94%
Cypress Charter High,44697650100305,Live Oak Elementary,17,549,462,506,10,58.82%
Pajaro Valley High,44697990105858,Pajaro Valley Unified,115,433,436,430,21,18.26%
Ceiba College Preparatory Academy,44697990117804,Pajaro Valley Unified,1,null,null,null,null,null%
Pacific Coast Charter,44697994430229,Pajaro Valley Unified,3,null,null,null,null,null%
Aptos High,44697994430518,Pajaro Valley Unified,152,532,529,521,91,59.87%
Watsonville High,44697994437901,Pajaro Valley Unified,182,437,452,433,38,20.88%
Ocean Grove Charter,44698070110007,San Lorenzo Valley Unified,20,620,546,554,15,75%
SLVUSD Charter,44698074430179,San Lorenzo Valley Unified,0,null,null,null,null,null%
San Lorenzo Valley High,44698074436754,San Lorenzo Valley Unified,94,535,521,517,52,55.32%
Ark Independent Studies,44698234430096,Santa Cruz City High,1,null,null,null,null,null%
Delta Charter,44698234430187,Santa Cruz City High,1,null,null,null,null,null%
Alternative Family Education,44698234430195,Santa Cruz City High,0,null,null,null,null,null%
Harbor High,44698234432340,Santa Cruz City High,123,498,518,497,60,48.78%
Santa Cruz High,44698234437109,Santa Cruz City High,161,555,570,547,116,72.05%
Soquel High,44698234437406,Santa Cruz City High,127,534,505,532,85,66.93%
Scotts Valley High,44754324430211,Scotts Valley Unified,121,550,551,547,88,72.73%
