School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
California Virtual Academy @ Jamestown,55723630100099,Jamestown Elementary,9,null,null,null,null,null%
Theodore Bird High,55723895530043,Sonora Union High,1,null,null,null,null,null%
Sonora High,55723895536503,Sonora Union High,73,530,524,514,43,58.9%
Gold Rush Charter,55724130112276,Summerville Union High,0,null,null,null,null,null%
Connections Visual and Performing Arts Academy,55724135530191,Summerville Union High,0,null,null,null,null,null%
Summerville High,55724135536750,Summerville Union High,58,504,489,491,25,43.1%
Tioga High,55751845530076,Big Oak Flat-Groveland Unified,5,null,null,null,null,null%
Don Pedro High,55751845530084,Big Oak Flat-Groveland Unified,3,null,null,null,null,null%
