School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Analy High,49706074930400,West Sonoma County Union High,154,551,563,544,109,70.78%
El Molino High,49706074931507,West Sonoma County Union High,65,532,523,514,38,58.46%
Cloverdale High,49706564930855,Cloverdale Unified,37,465,473,468,10,27.03%
Geyserville New Tech Academy,49707060129981,Geyserville Unified,0,null,null,null,null,null%
Pathways Charter,49707306120588,Harmony Union Elementary,5,null,null,null,null,null%
California Virtual Academy @ Sonoma,49707970107284,Liberty Elementary,4,null,null,null,null,null%
Pivot Online Charter - North Bay,49708390120584,Oak Grove Union Elementary,2,null,null,null,null,null%
Gateway to College Academy,49708620128157,Petaluma Joint Union High,0,null,null,null,null,null%
Casa Grande High,49708624930012,Petaluma Joint Union High,201,526,549,525,124,61.69%
Valley Oaks High (Alternative),49708624930236,Petaluma Joint Union High,2,null,null,null,null,null%
Petaluma High,49708624935151,Petaluma Joint Union High,174,560,553,550,131,75.29%
Northwest Prep Charter,49708700106344,Piner-Olivet Union Elementary,1,null,null,null,null,null%
Roseland Charter,49709040101923,Roseland,80,406,406,410,7,8.75%
Abraxis Charter,49709200108811,Santa Rosa High,0,null,null,null,null,null%
Elsie Allen High,49709204930160,Santa Rosa High,52,451,476,457,12,23.08%
Maria Carrillo High,49709204930244,Santa Rosa High,180,571,587,563,145,80.56%
Montgomery High,49709204934154,Santa Rosa High,147,540,563,535,98,66.67%
Piner High,49709204935292,Santa Rosa High,71,480,490,476,30,42.25%
Santa Rosa High,49709204936803,Santa Rosa High,142,554,550,549,100,70.42%
Sonoma Valley High,49709534937256,Sonoma Valley Unified,139,478,496,481,61,43.88%
Orchard View,49709614930319,Twin Hills Union Elementary,5,null,null,null,null,null%
Credo High,49738820123786,Cotati-Rohnert Park Unified,0,null,null,null,null,null%
Academy of Arts and Sciences: Sonoma,49738820127092,Cotati-Rohnert Park Unified,2,null,null,null,null,null%
Technology High,49738824930384,Cotati-Rohnert Park Unified,35,574,587,567,30,85.71%
Rancho Cotate High,49738824935482,Cotati-Rohnert Park Unified,118,478,484,467,40,33.9%
Windsor High,49753584930228,Windsor Unified,160,518,496,516,86,53.75%
Healdsburg High,49753904932554,Healdsburg Unified,55,518,526,508,31,56.36%
