School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Mountain Oaks,05100580530154,Calaveras County Office of Education,4,null,null,null,null,null%
Bret Harte Union High,05615560532507,Bret Harte Union High,60,547,550,541,43,71.67%
Calaveras Unified Alternative-Sierra Hills Educati,05615640530055,Calaveras Unified,0,null,null,null,null,null%
Calaveras High,05615640531509,Calaveras Unified,61,513,503,485,33,54.1%
