School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
East Nicolaus High,51713735132758,East Nicolaus Joint Union High,34,507,505,487,17,50%
Live Oak High,51713995135256,Live Oak Unified,59,434,457,426,7,11.86%
South Sutter Charter,51714070109793,Marcum-Illinois Union Elementary,13,523,488,465,6,46.15%
California Virtual Academy @ Sutter,51714150129007,Meridian Elementary,0,null,null,null,null,null%
Sutter High,51714495137500,Sutter Union High,78,492,499,471,32,41.03%
River Valley High,51714640107722,Yuba City Unified,145,488,502,479,64,44.14%
Albert Powell Continuation,51714645130018,Yuba City Unified,2,null,null,null,null,null%
Yuba City Unified Alternative,51714645130075,Yuba City Unified,0,null,null,null,null,null%
Yuba City Charter,51714645130125,Yuba City Unified,1,null,null,null,null,null%
Yuba City High,51714645139001,Yuba City Unified,134,483,493,476,49,36.57%
