School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Golden Eagle Charter,47104700117168,Siskiyou County Office of Education,1,null,null,null,null,null%
Dunsmuir High,47702504732707,Dunsmuir Joint Union High,3,null,null,null,null,null%
Happy Camp High,47704664734356,Siskiyou Union High,7,null,null,null,null,null%
Mt. Shasta High,47704664735403,Siskiyou Union High,32,529,501,513,17,53.13%
Weed High,47704664738753,Siskiyou Union High,16,474,481,467,8,50%
Yreka High,47705164739207,Yreka Union High,53,517,520,482,24,45.28%
Butte Valley High,47736844731253,Butte Valley Unified,3,null,null,null,null,null%
Etna Union High,47764554733309,Scott Valley Unified,21,527,516,488,11,52.38%
