School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Bitney College Preparatory High,29102980114314,Nevada County Office of Education,24,506,473,482,11,45.83%
Forest Charter,29102980126219,Nevada County Office of Education,30,522,500,508,18,60%
EPIC de Cesar Chavez,29102980130823,Nevada County Office of Education,0,null,null,null,null,null%
Muir Charter,29102982930147,Nevada County Office of Education,1,null,null,null,null,null%
William & Marian Ghidotti High,29663570112367,Nevada Joint Union High,32,622,608,576,29,90.63%
North Point Academy,29663572930030,Nevada Joint Union High,0,null,null,null,null,null%
Bear River High,29663572930048,Nevada Joint Union High,70,555,555,540,57,81.43%
Nevada Union High,29663572935500,Nevada Joint Union High,122,550,552,534,83,68.03%
Vantage Point Charter,29768776111371,Penn Valley Union Elementary,0,null,null,null,null,null%
