School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Tehama eLearning Academy,52105206119671,Tehama County Office of Education,1,null,null,null,null,null%
Corning High,52715065231709,Corning Union High,53,478,469,452,17,32.08%
Los Molinos High,52715715235106,Los Molinos Unified,20,449,445,412,4,20%
Red Bluff High,52716395237201,Red Bluff Joint Union High,84,499,526,490,44,52.38%
