School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
CORE Butte Charter,04100410114991,Butte County Office of Education,26,532,462,485,10,38.46%
Learning Community Charter,04100410430090,Butte County Office of Education,0,null,null,null,null,null%
Biggs High,04614080430827,Biggs Unified,11,433,429,406,2,18.18%
Inspire School of Arts and Sciences,04614240120394,Chico Unified,42,602,552,562,34,80.95%
Oakdale,04614240430199,Chico Unified,0,null,null,null,null,null%
Chico High,04614240431676,Chico Unified,164,543,549,521,112,68.29%
Pleasant Valley High,04614240437558,Chico Unified,159,526,555,508,100,62.89%
Durham High,04614320433201,Durham Unified,43,498,484,472,19,44.19%
Ipakanni Early College Charter,04614400121509,Feather Falls Union Elementary,0,null,null,null,null,null%
Pivot Charter School North Valley,04614570125252,Golden Feather Union Elementary,0,null,null,null,null,null%
Las Plumas High,04615150434803,Oroville Union High,53,511,522,489,32,60.38%
Oroville High,04615150435602,Oroville Union High,49,464,485,446,16,32.65%
Paradise eLearning Academy,04615310121715,Paradise Unified,0,null,null,null,null,null%
Paradise Senior High,04615310437350,Paradise Unified,52,526,545,504,32,61.54%
Hometech Charter,04615316112585,Paradise Unified,0,null,null,null,null,null%
Esperanza High (Continuation),04755070433946,Gridley Unified,1,null,null,null,null,null%
Gridley High,04755070433953,Gridley Unified,36,498,491,497,18,50%
