School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Crossroads Charter,16638750101717,Armona Union Elementary,0,null,null,null,null,null%
California Virtual Academy @ Kings,16638750112698,Armona Union Elementary,3,null,null,null,null,null%
"National University Academy, Armona",16638750121491,Armona Union Elementary,0,null,null,null,null,null%
Corcoran High,16638911632207,Corcoran Joint Unified,71,443,446,431,16,22.54%
Sierra Pacific High,16639250118919,Hanford Joint Union High,64,481,483,464,21,32.81%
Hanford West High,16639251630169,Hanford Joint Union High,108,448,454,450,26,24.07%
Hanford High,16639251634401,Hanford Joint Union High,86,460,449,436,24,27.91%
Lemoore Middle College High,16639820110205,Lemoore Union High,55,485,468,464,22,40%
Lemoore High,16639821635606,Lemoore Union High,117,470,468,459,37,31.62%
Avenal High,16739321630953,Reef-Sunset Unified,82,376,357,372,1,1.22%
