School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Urban Corps of San Diego County Charter,26102640124990,Mono County Office of Education,0,null,null,null,null,null%
California Heritage Youthbuild Academy,26102640125633,Mono County Office of Education,0,null,null,null,null,null%
Orange County Conservation Corps Charter,26102640126698,Mono County Office of Education,0,null,null,null,null,null%
Coleville High,26736682633006,Eastern Sierra Unified,10,null,null,null,null,null%
Lee Vining High,26736682635001,Eastern Sierra Unified,17,481,452,489,6,35.29%
Mammoth High,26736922630010,Mammoth Unified,39,500,505,492,20,51.28%
