School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Kelseyville High,17640141734359,Kelseyville Unified,42,500,468,491,18,42.86%
Lower Lake High,17640221735000,Konocti Unified,40,463,457,459,12,30%
Clear Lake High,17640301732304,Lakeport Unified,51,500,511,497,28,54.9%
Middletown High,17640551736008,Middletown Unified,44,507,518,489,25,56.82%
Upper Lake High,17640711737006,Upper Lake Union High,30,450,412,436,5,16.67%
