School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Plumas Charter,32669693230083,Plumas Unified,6,null,null,null,null,null%
Chester Junior/Senior High,32669693232006,Plumas Unified,16,481,528,471,7,43.75%
Greenville Junior/Senior High,32669693233509,Plumas Unified,4,null,null,null,null,null%
Portola Junior/Senior High,32669693235603,Plumas Unified,13,516,529,498,8,61.54%
Quincy Junior/Senior High,32669693236007,Plumas Unified,24,550,540,523,20,83.33%
